id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828567,UD. Alif Pamungkas,Kesehatan,1.0,56.0,5497149.0,3347794.0,Tokopedia,479.0,Belum Terdaftar,2015,-2149355.0,171000000.0,479.0
28828568,UD. Zidanar Panji,Perdagangan,5.0,44.0,7398384.0,39969661.0,Bukalapak,464.0,Terdaftar,2014,32571277.0,147000000.0,464.0
28828569,UD. Winda Jayengprana,unknown,74.0,51.0,8881762.0,25253355.0,Website Sendiri,383.0,Belum Terdaftar,2000,16371593.0,375000000.0,383.0
28828570,UD. Damaris Satria,Jasa,89.0,5.0,9576178.0,20700389.0,Website Sendiri,986.0,Belum Terdaftar,2003,11124211.0,282000000.0,986.0
28828571,UD. Qasya Wiratama,Jasa,91.0,59.0,9456853.0,4820810.0,Lazada,314.0,Belum Terdaftar,2002,-4636043.0,450000000.0,314.0
28828572,UD. Grego Wiraatmaja Nara,Jasa,76.0,36.0,9072119.0,19297316.0,Bukalapak,661.0,Belum Terdaftar,2000,10225197.0,336000000.0,661.0
28828573,UD. Mika Bagaskara,Perdagangan,37.0,53.0,8132674.0,4699257.0,Lazada,714.0,Terdaftar,2003,-3433417.0,270000000.0,424.0
28828574,UD. Yora Selaras,Kesehatan,75.0,3.0,7072036.0,16709414.0,Tokopedia,460.0,Belum Terdaftar,2009,9637378.0,234000000.0,460.0
28828575,UD. Wenny Langit,Jasa,82.0,82.0,2745878.0,41650245.8,Shopee,120.0,Belum Terdaftar,2000,39104489.0,492000000.0,120.0
28828576,UD. Fani Wijaya,Jasa,17.0,46.0,8136758.0,42552398.0,Website Sendiri,871.0,Belum Terdaftar,2006,34415640.0,189000000.0,871.0
28828577,UD. Karim Asmaralaya,Perdagangan,18.0,84.0,7862540.0,4911505.0,Bukalapak,736.0,Terdaftar,2014,-2951035.0,306000000.0,736.0
